stimulus_name,speech_rate,pitch_mean,pitch_sd,FL_ratio,AL_ratio,combined_ratio
CVC5-L1_4,5.392812459553907,4.572360645533054,1.8857101653172101,2.064285346751489,1.8112594812245186,1.8112594812245186
M5-L2_B1_4_B1_5-int-dur-rate,3.1435966768280004,5.806223286444005,1.3219562258989024,1.7340468389077217,2.096606415500039,1.931658770624562
M5-L2_B1_4_L1_4-int,3.307992046760121,6.397258949617848,2.331911180058529,1.3754863939674271,1.863503774296555,1.6919254507294141
M5-L2_B1_4_L1_4-int-dur,3.307992046760121,6.397258949617848,2.331911180058529,1.4791094903468092,2.1640182386473317,2.030868187357612
M5-L2_B1_4_L1_4-int-rate,5.776173285198556,6.711128519890804,2.20442000246292,1.375486393967427,1.8635037742965552,1.6919254507294141
M5-L2_B1_4_L1_4-int-dur-rate,5.776173285198556,6.711128519890804,2.20442000246292,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_B1_4_L1_4-dur,3.307992046760121,6.002216687332285,1.0737103291624193,1.4791094903468092,2.1640182386473317,2.030868187357612
M5-L2_B1_4_L1_4-dur-rate,5.776173285198556,6.137739904366551,0.9719219831001081,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_B1_4_L1_4-rate,5.776173285198556,6.13246079167367,0.97204540593072,1.375486393967427,1.8635037742965552,1.6919254507294141
M5-L2_C1_4_C1_5-int-dur-rate,4.250495054311506,5.16341868979511,1.3332419061589098,1.450902008503653,1.889297149886615,1.9839313579078093
M5-L2_C1_4_L1_4-int,3.4949927675493417,5.330586876031477,2.0539108384798666,1.313955400444096,1.4430498263030156,1.5591124699450112
M5-L2_C1_4_L1_4-int-dur,3.4949927675493417,5.330586876031477,2.0539108384798666,1.479109490346809,2.164018238647332,2.0308681873576124
M5-L2_C1_4_L1_4-int-rate,5.776173285198556,5.688989654906447,1.8679428974171712,1.3139554004440965,1.4430498263030156,1.5591124699450116
M5-L2_C1_4_L1_4-int-dur-rate,5.776173285198556,5.674953537216919,1.8699640495507142,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_C1_4_L1_4-dur,3.4949927675493417,4.998797092620597,0.6032214098787735,1.479109490346809,2.164018238647332,2.0308681873576124
M5-L2_C1_4_L1_4-dur-rate,5.776173285198556,5.0293088430651025,0.6553873868645614,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_C1_4_L1_4-rate,5.776173285198556,5.0358429995699705,0.6510263975915401,1.3139554004440965,1.4430498263030156,1.5591124699450116
M5-L2_B1_5_B1_4-int-dur-rate,3.307992046760121,5.863163281669547,1.0422256732093778,1.3754863939674271,1.863503774296555,1.6919254507294141
M5-L2_B1_5_L1_4-int,3.1435966768280004,6.230745077085269,2.2865070052111824,1.7340468389077217,2.096606415500039,1.931658770624562
M5-L2_B1_5_L1_4-int-dur,3.143596676828001,6.230745077085269,2.2865070052111824,1.4791094903468083,2.1640182386473317,2.030868187357612
M5-L2_B1_5_L1_4-int-rate,5.7761732851985546,6.500405721487032,2.246644243551109,1.7340468389077224,2.09660641550004,1.9316587706245627
M5-L2_B1_5_L1_4-int-dur-rate,5.776173285198556,6.49084833378203,2.2461744467658065,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_B1_5_L1_4-dur,3.143596676828001,5.628396062644008,1.2901709718315653,1.4791094903468083,2.1640182386473317,2.030868187357612
M5-L2_B1_5_L1_4-dur-rate,5.776173285198556,5.777446569101585,1.3516776489677031,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_B1_5_L1_4-rate,5.7761732851985546,5.779613184267325,1.3550421354137303,1.7340468389077224,2.09660641550004,1.9316587706245627
M5-L2_C1_5_C1_4-int-dur-rate,3.4949927675493417,5.34731596393944,0.6470434850194902,1.313955400444096,1.4430498263030156,1.5591124699450112
